title,url,raw_price,description
https://www.sauto.cz/osobni/detail/skoda/octavia/209707503,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",309 000 Kč,"2020, 181 866 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209707497,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",335 000 Kč,"2020, 96 023 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209707494,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",329 000 Kč,"2020, 130 114 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/kia/cee-d/209707485,"Kia Cee´d,
1,0 T-GDI Exclusive PDC",365 000 Kč,"2022, 29 493 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/cee-d/209707482,"Kia Cee´d,
1,0 T-GDI Exclusive PDC",365 000 Kč,"2022, 32 634 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/hyundai/tucson/209707476,"Hyundai Tucson,
1,6 T-GDI Comfort LED+PDC",464 000 Kč,"2022, 20 429 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/ford/focus/209707473,"Ford Focus,
1,5 EcoBlue AT8 Combi Titanium",405 000 Kč,"2022, 71 966 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/cupra/formentor/209707470,"Cupra Formentor,
1,5 TSI DSG ACC+PDC+KAMERA",534 000 Kč,"2022, 61 115 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209698821,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",339 000 Kč,"2020, 84 140 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/audi/q7/209698818,"Audi Q7,
3,0 50 TDI quattro S line",1 349 000 Kč,"2022, 72 014 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/volkswagen/passat/209694150,"Volkswagen Passat,
2,0 TDI Business ACC Variant",545 000 Kč,"2023, 92 757 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209694138,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",339 000 Kč,"2020, 89 635 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/kodiaq/209660007,"Škoda Kodiaq,
2,0 TDI 4x4 DSG L&K WEBA+TAŽNÉ",944 000 Kč,"2023, 62 031 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/bmw/rada-2/209865747,"BMW Řada 2,
Plugin hybrid, Active tourer",450 000 Kč,"2020, 97 000 km, Hybridní, Automatická"
https://www.sauto.cz/osobni/detail/skoda/superb/209789298,"Škoda Superb,
Sportline 147kW DPH",449 000 Kč,"2021, 229 000 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/volkswagen/touran/209789331,"Volkswagen Touran,
IQ-Drive 1.6TDI DSG",249 000 Kč,"2019, 325 000 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209802804,"Škoda Octavia,
1.8 TSI, Automat",170 000 Kč,"2013, 185 129 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/kia/ev4/209302944,"Kia EV4,
HB 4x2 GT-LINE 150kW + 81,4kWh",1 369 980 Kč,"2026, 1 km, Elektro, Automatická"
https://www.sauto.cz/osobni/detail/volvo/ex60/209784270,"Volvo EX60,
PURE ELECTRIC PLUS",1 519 000 Kč,"2026, 0 km, Elektro, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209677068,"Škoda Octavia,
1.6 TDI, Ambition, Serv.kniha",160 000 Kč,"2012, 76 109 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209631807,"Škoda Octavia,
1.4 TSI, NOVÁ CENA",120 000 Kč,"2010, 141 400 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/karoq/209629797,"Škoda Karoq,
1.5 TSI, Fresh, NOVÁ CENA",615 000 Kč,"2024, 38 126 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/karoq/209463279,"Škoda Karoq,
1.5 TSI, NOVÁ CENA, Automat",430 000 Kč,"2020, 148 059 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/hyundai/i30/209351844,"Hyundai i30,
1.0 T-GDI, Smart, ČR,1.maj",320 000 Kč,"2022, 97 055 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209193120,"Škoda Octavia,
1.6 TDI, NOVÁ CENA, Klima",160 000 Kč,"2016, 181 829 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/hyundai/i30/209050071,"Hyundai i30,
1.5 T-GDI MHEV, NOVÁ CENA, ČR",330 000 Kč,"2022, 88 347 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/rapid/209791770,"Škoda Rapid,
1.0 TSI 81kW",254 800 Kč,"2018, 102 762 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/touran/208042226,"Volkswagen Touran,
Cross 1.4 TSI 125 kW DSG",154 900 Kč,"2007, 187 700 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/skoda/roomster/209327781,"Škoda Roomster,
1.2 TSI 63kW Klima,Servis,Stav",109 900 Kč,"2011, 176 500 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/opel/vivaro/208926315,"Opel Vivaro,
1.6d Long,6 míst,Klima,BezKoro",319 900 Kč,"2016, 218 000 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/audi/e-tron/209545251,"Audi e-tron,
50 quattro, SoH 89%",730 000 Kč,"2020, 58 981 km, Elektro, Automatická"
https://www.sauto.cz/osobni/detail/kia/xcee-d/209292333,"Kia XCee´d,
1.6 T-GDI GPF 7DCT STEEL EDITI",599 000 Kč,"2025, 1 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/citroen/c3-picasso/209327880,"Citroën C3 Picasso,
1.4i 70 kW Stav,Klima,Tempomat",99 900 Kč,"2011, 181 500 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/roomster/209510946,"Škoda Roomster,
1.2 TSI 63 kW Klima,Výhřevy",119 900 Kč,"2013, 195 300 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209551881,"Škoda Octavia,
1.2 TSI 77 kW ALU,Klima,Servis",119 900 Kč,"2012, 210 000 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/fabia/209574420,"Škoda Fabia,
1.4i 63 kW Klima,Sport,BezKoro",89 900 Kč,"2008, 185 300 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/fabia/209574573,"Škoda Fabia,
1.4i 63 kW Sport,Klima,Stav",84 900 Kč,"2008, 176 000 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/ford/transit-custom/209592450,"Ford Transit Custom,
2.2d 9 míst L2H2 Klima",309 900 Kč,"2014, 184 600 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/ford/transit-custom/209628381,"Ford Transit Custom,
2.2d 6 míst,Klima,Servis",254 900 Kč,"2014, 198 900 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/mercedes-benz/tridy-c/209762916,"Mercedes-Benz Třídy C,
200 CDi 100 kW Aut.,Xenon,Navi",179 900 Kč,"2010, 219 800 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/mercedes-benz/tridy-b/209855022,"Mercedes-Benz Třídy B,
180i 85 kW Výbava,Stav",124 900 Kč,"2009, 199 300 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/polo/209861004,"Volkswagen Polo,
1.2 TSI 66 kW Klima,Stav",139 900 Kč,"2012, 181 100 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/fabia/209865762,"Škoda Fabia,
1.2 TSI 63kW Servis,Klima,Stav",119 900 Kč,"2012, 145 250 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/ford/transit-custom/209865777,"Ford Transit Custom,
2.2d 6 míst,Klima,Stav",254 900 Kč,"2015, 194 300 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/bmw/rada-3/209791236,"BMW Řada 3,
318d f30 LCI, full LED",349 000 Kč,"2017, 99 500 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/bmw/rada-5/209833413,"BMW Řada 5,
MPAKET, TOP,LED,ČR,Servi",535 000 Kč,"2020, 177 900 km, Nafta, Automatická"
