title,url,raw_price,description,price,year,mileage,fuel,transmission,brand
https://www.sauto.cz/osobni/detail/skoda/superb/209810169,"Škoda Superb,
1,4TSi iV 160kW STYLE ACC DCC",499 900 Kč,"2020, 98 700 km, Hybridní, Automatická",499900.0,2020.0,98700.0,Hybridní,Automatická,https://www.sauto.cz/osobni/detail/skoda/superb/209810169
https://www.sauto.cz/osobni/detail/skoda/superb/209822874,"Škoda Superb,
2,0TDi 140kW SCOUT Nez.topení",599 900 Kč,"2020, 153 400 km, Nafta, Automatická",599900.0,2020.0,153400.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/skoda/superb/209822874
https://www.sauto.cz/osobni/detail/skoda/octavia/209823165,"Škoda Octavia,
2,0TDi 110kW STYLE DSG TAŽNÉ",449 900 Kč,"2022, 156 600 km, Nafta, Automatická",449900.0,2022.0,156600.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/skoda/octavia/209823165
https://www.sauto.cz/osobni/detail/skoda/scala/209848668,"Škoda Scala,
1,0TSi 85kW Koup.ČR,1.majitel",289 900 Kč,"2020, 121 500 km, Benzín",289900.0,2020.0,121500.0,Benzín,Manual,https://www.sauto.cz/osobni/detail/skoda/scala/209848668
https://www.sauto.cz/osobni/detail/skoda/octavia/209855877,"Škoda Octavia,
1,5TSi 110kW Koup.ČR,1.majitel",369 900 Kč,"2021, 110 000 km, Benzín, Manuální",369900.0,2021.0,110000.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209855877
https://www.sauto.cz/osobni/detail/skoda/karoq/209865504,"Škoda Karoq,
2.0 TDI, Fresh, 4X4, Automat",740 000 Kč,"2024, 38 655 km, Nafta, Automatická",740000.0,2024.0,38655.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/skoda/karoq/209865504
https://www.sauto.cz/osobni/detail/volkswagen/passat/209855880,"Volkswagen Passat,
2,0TDi 110kW ELEGANCE DSG ACC",449 900 Kč,"2020, 143 400 km, Benzín, Automatická",449900.0,2020.0,143400.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/volkswagen/passat/209855880
https://www.sauto.cz/osobni/detail/skoda/karoq/209865501,"Škoda Karoq,
1.5 TSI, Sportline, Automat",770 000 Kč,"2024, 38 371 km, Benzín, Automatická",770000.0,2024.0,38371.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/skoda/karoq/209865501
https://www.sauto.cz/osobni/detail/mercedes-benz/eqb/209791074,"Mercedes-Benz EQB,
EQB 350 4MATIC, SoH 96%, 4X4",765 000 Kč,"2022, 54 600 km, Elektro, Automatická",765000.0,2022.0,54600.0,Elektro,Automatická,https://www.sauto.cz/osobni/detail/mercedes-benz/eqb/209791074
https://www.sauto.cz/osobni/detail/jeep/wrangler/208792431,"Jeep Wrangler,
SAHARA, 2.8 nafta",750 000 Kč,"2018, 55 000 km, Nafta, Automatická",750000.0,2018.0,55000.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/jeep/wrangler/208792431
https://www.sauto.cz/osobni/detail/skoda/octavia/209865492,"Škoda Octavia,
1.9 TDI, Ambiente, po STK",20 000 Kč,"2001, 400 193 km, Nafta, Manuální",20000.0,2001.0,400193.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209865492
https://www.sauto.cz/osobni/detail/volkswagen/golf/209865489,"Volkswagen Golf,
2.0 TDI, Highline, ČR,1.maj",330 000 Kč,"2020, 158 189 km, Nafta, Manuální",330000.0,2020.0,158189.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/volkswagen/golf/209865489
https://www.sauto.cz/osobni/detail/subaru/outback/209555682,"Subaru Outback,
2.0D COMFORT MANUÁL! KOUP. ČR",177 000 Kč,"2012, 173 000 km, Nafta, Manuální",177000.0,2012.0,173000.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/subaru/outback/209555682
https://www.sauto.cz/osobni/detail/toyota/corolla/209865486,"Toyota Corolla,
1.8 Hybrid, Trek, Automat, ČR",480 000 Kč,"2022, 145 840 km, Hybridní, Automatická",480000.0,2022.0,145840.0,Hybridní,Automatická,https://www.sauto.cz/osobni/detail/toyota/corolla/209865486
https://www.sauto.cz/osobni/detail/bmw/x7/209865480,"BMW X7,
xDrive40i, M Sport",2 250 000 Kč,"2023, 60 474 km, Benzín, Automatická",2250000.0,2023.0,60474.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/bmw/x7/209865480
https://www.sauto.cz/osobni/detail/bmw/rada-3/209674533,"BMW Řada 3,
Sport - 100kW 6MP TOP Výbava",269 900 Kč,"2015, 175 000 km, Benzín, Manuální",269900.0,2015.0,175000.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/bmw/rada-3/209674533
https://www.sauto.cz/osobni/detail/seat/leon/209676888,"Seat Leon,
Cupra 300 4drive CarbonEdition",599 900 Kč,"2018, 86 484 km, Benzín, Automatická",599900.0,2018.0,86484.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/seat/leon/209676888
https://www.sauto.cz/osobni/detail/skoda/karoq/209328315,"Škoda Karoq,
1.5 TSI, NOVÁ CENA, Navi",490 000 Kč,"2019, 62 452 km, Benzín, Manuální",490000.0,2019.0,62452.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/skoda/karoq/209328315
https://www.sauto.cz/osobni/detail/hyundai/i30/209312472,"Hyundai i30,
1.0 T-GDI, Style, Style",490 000 Kč,"2025, 13 980 km, Benzín, Automatická",490000.0,2025.0,13980.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/hyundai/i30/209312472
https://www.sauto.cz/osobni/detail/skoda/karoq/209204655,"Škoda Karoq,
1.5 TSI, Ambition, NOVÁ CENA",470 000 Kč,"2021, 106 271 km, Benzín, Automatická",470000.0,2021.0,106271.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/skoda/karoq/209204655
